title,uri,length,note
"「你所不知道的 C 語言」：指標篇 (2016-09-18)","https://www.youtube.com/watch?v=VpyaxUdSd_s","0","https://hackmd.io/s/HyBPr9WGl"
"「你所不知道的 C 語言」：編譯器和最佳化原理篇 (1 月 18 日)","https://www.youtube.com/watch?v=RYXFLxnLsiM","0","https://hackmd.io/s/Hy72937Me"
"「你所不知道的 C 語言」：物件導向篇 (2016-05-11)","https://www.youtube.com/watch?v=TB7pZGFk5DY","0","https://hackmd.io/s/HJLyQaQMl"
"「你所不知道的 C 語言」：前置處理器應用篇 (2016-06-29)","https://www.youtube.com/watch?v=7gadhJcIq_o","0","https://hackmd.io/s/S1maxCXMl"
"「你所不知道的 C 語言」：動態連結器和執行時期的行為 (0825)","https://www.youtube.com/watch?v=q6WGRujpya4","0","https://hackmd.io/s/HkK7Uf4Ml"
"「你所不知道的 C 語言」：遞迴呼叫篇","https://www.youtube.com/watch?v=2zKXxOteV9w","0","https://hackmd.io/s/rJ8BOjGGl"
"「你所不知道的 C 語言」：技巧篇","https://www.youtube.com/watch?v=Uzi_b-08uQE","0","https://hackmd.io/s/HyIdoLnjl"
"「你所不知道的 C 語言」：數值系統篇","https://www.youtube.com/watch?v=IF1XwyRd-bc","0","https://hackmd.io/s/BkRKhQGae"
"「你所不知道的 C 語言」：從打造類似 Facebook 網路服務探討整合開發","https://www.youtube.com/watch?v=H8xb3Jbgmac","0","https://hackmd.io/s/B1s8hX1yg"
"「你所不知道的 C 語言」：開發工具和規格標準","https://www.youtube.com/watch?v=KEvB5HpFHsM","0","https://hackmd.io/s/HJFyt37Mx"
